lemma,rank
olla,1
ei,2
se,3
mikä,4
hän,5
minä,6
ja,7
sinä,8
tämä,9
voida,10
että,11
tehdä,12
voi,13
hyvä,14
tietää,15
tulla,16
haluta,17
niin,18
pitää,19
saada,20
me,21
mutta,22
he,23
mennä,24
vain,25
joka,26
täällä,27
kaikki,28
jos,29
sanoa,30
nähdä,31
nyt,32
tee,33
kuu,34
kun,35
te,36
tuo,37
ne,38
antaa,39
yksi,40
aika,41
kertoa,42
kanssa,43
tuoda,44
sitten,45
mikään,46
tosi,47
puhua,48
miten,49
tie,50
jokin,51
ottaa,52
kiitos,53
siitä,54
siittää,55
kyllä,56
mies,57
oikea,58
jo,59
vuo,60
hei,61
kuolla,62
tarvita,63
asia,64
muu,65
siellä,66
lähteä,67
kuka,68
pää,69
isä,70
katsoa,71
itse,72
päästä,73
elää,74
tai,75
häntä,76
luulla,77
käydä,78
uskoa,79
tuli,80
näyttää,81
äiti,82
yrittää,83
ehkä,84
toinen,85
vielä,86
odottaa,87
kuulla,88
Anna,89
tappaa,90
tapahtua,91
hyvin,92
löytää,93
auttaa,94
anteeksi,95
vuosi,96
joku,97
Aina,98
aina,99
koska,100
paljo,101
ettei,102
ihminen,103
Päivä,104
päivä,105
poika,106
halu,107
kaksi,108
työ,109
paha,110
selvä,111
tuntea,112
paikka,113
viedä,114
herra,115
täytyä,116
tavata,117
soittaa,118
sama,119
mukaan,120
kerta,121
ennen,122
taata,123
ymmärtää,124
pois,125
nimi,126
olka,127
lapsi,128
muuttaa,129
nainen,130
tarkoittaa,131
usko,132
juuri,133
alkaa,134
enää,135
uusi,136
koko,137
takainen,138
etsiä,139
varma,140
ajatella,141
kukaan,142
juuria,143
kerto,144
rakastaa,145
näin,146
Varma,147
vasta,148
tyttö,149
nämä,150
ystävä,151
muistaa,152
elämä,153
kunto,154
pyytää,155
aikoa,156
kuinka,157
raha,158
vähä,159
jättää,160
jälki,161
sana,162
auto,163
vai,164
puoli,165
vastata,166
päästää,167
ajaa,168
käyttää,169
Kai,170
koskaan,171
mieli,172
jäädä,173
palata,174
kai,175
ihan,176
oma,177
tapa,178
taitaa,179
juttu,180
liika,181
entä,182
joten,183
seurata,184
aivan,185
ken,186
hieno,187
ulos,188
siis,189
lopettaa,190
no,191
koti,192
vanha,193
osa,194
sisä,195
valmis,196
kysyä,197
vähän,198
oikein,199
kuten,200
naida,201
käsi,202
kolme,203
edes,204
hoitaa,205
maa,206
myös,207
hetki,208
noki,209
apu,210
kota,211
syödä,212
toivoa,213
toimia,214
sellainen,215
vaan,216
ilma,217
hakea,218
pysyä,219
Ilma,220
noin,221
heittää,222
jälkeen,223
sopia,224
osata,225
kuulua,226
taas,227
pystyä,228
poliisi,229
hauska,230
moni,231
kuunnella,232
maksaa,233
vaikka,234
tänään,235
helvetti,236
niittää,237
loppu,238
suuri,239
enempi,240
näkyä,241
liian,242
ampua,243
laittaa,244
ilta,245
Ilta,246
kutsua,247
maailma,248
tuntua,249
vaimo,250
syy,251
pari,252
talo,253
pieni,254
lähettää,255
yö,256
kiinni,257
luoja,258
väli,259
kova,260
ase,261
unohtaa,262
kaveri,263
perhe,264
tunti,265
ilman,266
takia,267
heti,268
lukea,269
ongelma,270
täysi,271
ensimmäinen,272
ikä,273
istua,274
kauan,275
saattaa,276
iso,277
jatkaa,278
joutua,279
enemmän,280
Pia,281
pian,282
riittää,283
tärkeä,284
viikko,285
väärä,286
myöhä,287
lisä,288
pysty,289
kohta,290
tieto,291
hullu,292
asua,293
vastaan,294
aloittaa,295
kestää,296
mukava,297
paska,298
huoli,299
veli,300
pala,301
luvata,302
pelätä,303
n,304
edessä,305
ostaa,306
silta,307
uusia,308
matka,309
voittaa,310
siksi,311
tuottaa,312
kuva,313
silmä,314
panna,315
luottaa,316
ainoa,317
huono,318
juoda,319
onni,320
miksei,321
miettiä,322
hitto,323
jumala,324
kyse,325
huomata,326
yhä,327
luokse,328
kaunis,329
viimeinen,330
pelastaa,331
nukkua,332
tajuta,333
lisätä,334
jää,335
mahtaa,336
henki,337
ovi,338
yhdessä,339
ala,340
kirjoittaa,341
Autto,342
kulta,343
nopea,344
vittu,345
joo,346
kaupunki,347
kuolema,348
selvitä,349
oieta,350
tutkia,351
rouva,352
avata,353
vaikea,354
huone,355
silloin,356
ensin,357
yhtä,358
menettää,359
peljätä,360
onnistua,361
tunne,362
tila,363
kuulostaa,364
päättää,365
tarve,366
päivätä,367
hätä,368
lupa,369
varoa,370
minuutti,371
välittää,372
käskeä,373
viisi,374
maksa,375
yksin,376
tohtori,377
takana,378
kerrata,379
sattua,380
helppo,381
joskus,382
kiva,383
toimi,384
tahtoa,385
nuo,386
valita,387
löytyä,388
pitkä,389
syyttää,390
huomenna,391
palaa,392
kysymys,393
jotta,394
toivo,395
Toivo,396
perä,397
tytär,398
vaikuttaa,399
myöhemmin,400
kuuluu,401
Toimi,402
Aino,403
tehtävä,404
nousta,405
pieniä,406
loppua,407
Milla,408
milloin,409
homma,410
koulu,411
selvittää,412
luoda,413
keksiä,414
usea,415
dollari,416
seura,417
tulo,418
vesi,419
valehdella,420
neljä,421
kadota,422
silti,423
tyyppi,424
alla,425
muuttua,426
lähellä,427
myydä,428
nuori,429
tilata,430
aamu,431
Aamu,432
voinen,433
liittyä,434
toivottaa,435
tilanne,436
outo,437
jokainen,438
tieten,439
vanhempi,440
alas,441
viime,442
tällainen,443
häipyä,444
alku,445
koto,446
kiltti,447
valittaa,448
ammua,449
puhelin,450
ruumis,451
muuten,452
vetää,453
kiinnostaa,454
ylös,455
yli,456
pelata,457
yhteys,458
kello,459
jutella,460
neiti,461
okei,462
tuhota,463
laskea,464
koskea,465
ohi,466
ruoka,467
molempi,468
kirja,469
jalka,470
suo,471
veri,472
kuukausi,473
oikeus,474
suhde,475
hieman,476
mahdollinen,477
läpi,478
ääni,479
joki,480
sir,481
Tula,482
oppia,483
rauha,484
Rauha,485
eräs,486
sydän,487
lyödä,488
Vuoksi,489
vuoksi,490
laki,491
peli,492
millainen,493
meno,494
alus,495
tarina,496
tarjota,497
sulkea,498
kutsu,499
tapaus,500
hankkia,501
varastaa,502
muutama,503
poissa,504
vapaa,505
totuus,506
vihata,507
suunnitelma,508
kunnes,509
murha,510
viesti,511
kapteeni,512
koira,513
Osta,514
asti,515
hiljaa,516
sota,517
ajatus,518
turpa,519
ehtiä,520
voima,521
irti,522
liikkua,523
ellei,524
kuitenkin,525
selittää,526
pakko,527
tahansa,528
terve,529
rauhoittua,530
suojella,531
Hilja,532
lääkäri,533
kaivata,534
keksi,535
tuska,536
kuula,537
arvata,538
johtaa,539
numero,540
vika,541
nimetä,542
rakkaus,543
ero,544
rakas,545
John,546
vankila,547
eilen,548
kohdata,549
suu,550
asu,551
pärjätä,552
vaihtaa,553
varten,554
miljoona,555
voiva,556
mahdollisuus,557
kuultaa,558
kauas,559
huolehtia,560
kävellä,561
juosta,562
loistaa,563
juhla,564
kuusi,565
niistää,566
melkein,567
liike,568
vaatia,569
herätä,570
ihme,571
kiittää,572
uhri,573
ihana,574
vaiva,575
esittää,576
Jack,577
täydellinen,578
kannattaa,579
jolla,580
idea,581
aiempi,582
eri,583
elokuva,584
vaivata,585
työskennellä,586
taistella,587
upea,588
ikävä,589
löysä,590
järjestää,591
jätti,592
viestiä,593
tahto,594
pomo,595
todistaa,596
paitsi,597
alue,598
musta,599
viha,600
uutinen,601
pidättää,602
lähde,603
ensi,604
estää,605
suoraan,606
saapua,607
haloo,608
hetkinen,609
opettaa,610
vauhti,611
sairaala,612
hyväksyä,613
leikkiä,614
paeta,615
toki,616
nostaa,617
todiste,618
kone,619
pelkkä,620
merkitä,621
para,622
avu,623
pikku,624
syntyä,625
sisko,626
aiemmin,627
Sisko,628
tarkistaa,629
kokeilla,630
new,631
viitsiä,632
sopimus,633
lentää,634
ansaita,635
kuvitella,636
tervetulo,637
pelottaa,638
pysäyttää,639
uni,640
valo,641
onnellinen,642
vara,643
toistaa,644
huolia,645
maata,646
olo,647
huomen,648
polttaa,649
ai,650
puhe,651
nauraa,652
kuvata,653
kumpi,654
suostua,655
kuningas,656
johtaja,657
yhtään,658
kasvo,659
tavara,660
jäätää,661
ilmoittaa,662
agentti,663
tanssia,664
turva,665
kokea,666
sisältää,667
korjata,668
satuttaa,669
vauva,670
tyhmä,671
katu,672
presidentti,673
vastaus,674
tuollainen,675
toimisto,676
virhe,677
aiheuttaa,678
etsin,679
Elo,680
paikata,681
kiire,682
elo,683
laita,684
kymmenen,685
väittää,686
lahja,687
kymmen,688
nauttia,689
Lahja,690
koe,691
tykätä,692
asunto,693
haista,694
kuulu,695
Michael,696
muka,697
vahva,698
rakentaa,699
tähti,700
avain,701
sänky,702
vaarallinen,703
kamala,704
iloinen,705
asiakas,706
päätös,707
jakaa,708
jatkua,709
vaate,710
pidetä,711
huomio,712
kahvi,713
typerä,714
tunnistaa,715
uudelleen,716
murhata,717
paskiainen,718
järki,719
joukko,720
kausi,721
lähetti,722
siirtää,723
saava,724
johtua,725
vuotaa,726
uudestaan,727
kauppa,728
osua,729
kulua,730
velka,731
tuskin,732
varmistaa,733
viettää,734
tarkoitus,735
kunnia,736
haitata,737
taivas,738
vihainen,739
sääntö,740
pettää,741
kieltää,742
varata,743
kääntyä,744
pöytä,745
tilaisuus,746
suoda,747
pudota,748
erota,749
asema,750
ammu,751
kantaa,752
pysähtyä,753
muttei,754
valkoinen,755
kasvaa,756
seksi,757
luota,758
York,759
poistaa,760
Tarkka,761
kunhan,762
epäillä,763
